
2024/08/19 (10:10:22) | ===> btop++ v.1.3.0
2024/08/19 (10:10:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/31 (18:15:17) | ===> btop++ v.1.3.0
2024/08/31 (18:15:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (18:47:31) | ===> btop++ v.1.3.0
2024/11/16 (18:47:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (19:05:32) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:34) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:36) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:38) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:40) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:42) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:44) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:46) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:48) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:50) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:52) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:54) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:56) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:05:58) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:00) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:17) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:40) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:42) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:44) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:46) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:48) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/11/16 (19:06:50) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
